Date,Open,High,Low,Close
날짜,시가,고가,저가,종가
20230914,905000,934000,891000,904000
20230915,906000,914000,881000,890000
20230918,892000,914000,870000,899000
20230919,896000,905000,880000,890000
20230920,890000,953000,890000,953000
20230921,944000,992000,941000,971000
20230922,958000,979000,927000,957000
20230925,968000,985000,880000,880000
20230926,880000,913000,878000,888000
20230927,880000,914000,872000,901000
20231004,890000,895000,822000,824000
20231005,849000,862000,823000,825000
20231006,822000,852000,822000,839000
20231010,844000,846000,778000,786000
20231011,807000,854000,796000,843000
20231012,853000,893000,847000,873000
20231013,868000,878000,824000,833000
20231016,796000,842000,785000,835000
20231017,849000,870000,830000,830000
20231018,831000,848000,820000,822000
20231019,800000,810000,791000,798000
20231020,784000,785000,740000,751000
20231023,741000,762000,724000,730000
20231024,736000,758000,685000,752000
20231025,757000,758000,690000,690000
20231026,664000,678000,613000,621000
20231027,628000,652000,610000,635000
20231030,630000,673000,626000,662000
20231031,666000,667000,612000,620000
20231101,627000,645000,590000,597000
20231102,616000,649000,607000,649000
20231103,666000,680000,631000,637000
20231106,732000,828000,712000,828000
20231107,870000,928000,795000,859000
20231108,821000,843000,737000,737000
20231109,754000,763000,693000,729000
20231110,703000,710000,685000,685000
20231113,699000,716000,680000,688000
20231114,702000,748000,696000,729000
20231115,789000,789000,725000,740000
20231116,730000,760000,704000,711000
20231117,698000,702000,661000,679000
20231120,670000,738000,666000,728000
